essay_id	essay_set
4761	2
10200	4
10380	4
7108	3
3351	2
10305	4
13191	5
13010	5
9014	4
1167	1
842	1
19077	7
17853	7
10144	4
6682	3
3005	2
13356	5
3257	2
12269	5
9138	4
13617	5
20725	8
21609	8
7095	3
21224	8
12262	5
3489	2
3512	2
17916	7
6551	3
10460	4
13089	5
7662	3
21306	8
12865	5
6355	3
7195	3
408	1
21451	8
4721	2
779	1
19257	7
9218	4
6701	3
293	1
1040	1
4	1
6289	3
3491	2
19465	7
1773	1
10472	4
7663	3
4150	2
4383	2
566	1
6798	3
19139	7
19448	7
19026	7
19526	7
18547	7
13510	5
13143	5
10505	4
1387	1
1454	1
7217	3
10355	4
427	1
10183	4
3566	2
9859	4
18321	7
17838	7
11952	5
21063	8
887	1
1522	1
7266	3
20844	8
18343	7
19369	7
1328	1
12183	5
863	1
13055	5
12730	5
13124	5
2996	2
12538	5
10287	4
1020	1
6791	3
13084	5
410	1
10069	4
21442	8
21241	8
18256	7
3636	2
3649	2
13046	5
7260	3
12123	5
9819	4
10400	4
3074	2
6725	3
18454	7
7418	3
10157	4
10624	4
3669	2
20889	8
6735	3
7072	3
18072	7
972	1
3171	2
1640	1
12334	5
18983	7
6830	3
9256	4
9535	4
196	1
10212	4
6850	3
4747	2
7650	3
12194	5
10044	4
18242	7
7117	3
912	1
4014	2
3965	2
1395	1
12524	5
9483	4
10618	4
21238	8
4608	2
18238	7
10376	4
470	1
12071	5
12059	5
3743	2
6874	3
4427	2
20802	8
464	1
19228	7
20876	8
1675	1
832	1
9164	4
12338	5
7682	3
12891	5
3978	2
4484	2
7370	3
7177	3
7377	3
3626	2
12968	5
18698	7
9664	4
9397	4
3370	2
13073	5
3801	2
6517	3
7376	3
1770	1
12519	5
19005	7
1342	1
19525	7
10251	4
9922	4
6234	3
6490	3
19466	7
3782	2
301	1
12457	5
899	1
9312	4
3326	2
20932	8
9377	4
13476	5
3	1
18758	7
7690	3
13034	5
10197	4
9906	4
3414	2
76	1
7094	3
21266	8
18502	7
6760	3
3772	2
9901	4
1217	1
13257	5
4628	2
21386	8
6513	3
13540	5
4230	2
4667	2
13470	5
18235	7
18929	7
18068	7
13509	5
21494	8
3950	2
6994	3
4577	2
7653	3
9369	4
3942	2
7467	3
10273	4
9348	4
12846	5
21346	8
3546	2
12871	5
7024	3
704	1
9198	4
4688	2
582	1
13627	5
1667	1
12852	5
18606	7
9958	4
13437	5
3205	2
4394	2
18654	7
17936	7
13280	5
995	1
6224	3
835	1
1735	1
478	1
12909	5
12767	5
9445	4
17982	7
1541	1
4284	2
3562	2
1626	1
1161	1
4286	2
13456	5
7288	3
10621	4
7253	3
3558	2
3287	2
12134	5
6799	3
7477	3
10492	4
128	1
3096	2
4446	2
10308	4
13211	5
10247	4
3695	2
7063	3
13524	5
7466	3
13066	5
18135	7
9768	4
3969	2
1557	1
12574	5
10269	4
18909	7
9770	4
268	1
9773	4
12586	5
12918	5
756	1
13430	5
18712	7
272	1
7001	3
9026	4
8889	4
19081	7
6449	3
7626	3
920	1
7667	3
21531	8
18076	7
9211	4
18281	7
7193	3
3938	2
9408	4
13026	5
3472	2
1018	1
20790	8
4584	2
6512	3
1073	1
12602	5
12314	5
13587	5
511	1
884	1
12399	5
4068	2
584	1
13335	5
18055	7
3707	2
9593	4
3254	2
3587	2
18826	7
6368	3
1569	1
392	1
3035	2
19190	7
21502	8
21083	8
12908	5
777	1
9580	4
3739	2
7484	3
13039	5
18217	7
989	1
12735	5
6344	3
10572	4
1394	1
7406	3
18561	7
6535	3
3573	2
12528	5
1184	1
10081	4
20883	8
18677	7
10424	4
1434	1
10401	4
3050	2
6369	3
12217	5
3905	2
13497	5
12795	5
18481	7
6202	3
7623	3
6275	3
12707	5
6581	3
659	1
13199	5
6215	3
7431	3
18000	7
1279	1
883	1
4492	2
12421	5
6902	3
18451	7
18045	7
20974	8
19280	7
6092	3
4622	2
7302	3
11902	5
9325	4
1015	1
7209	3
3286	2
13027	5
13059	5
7192	3
7333	3
181	1
6780	3
4133	2
12671	5
943	1
17841	7
400	1
4651	2
7593	3
13223	5
1214	1
4626	2
9964	4
4315	2
13265	5
12589	5
21541	8
18943	7
6810	3
6825	3
543	1
4269	2
18325	7
3467	2
10106	4
6391	3
9118	4
4376	2
9451	4
3158	2
19044	7
21418	8
12478	5
3846	2
1684	1
6422	3
11964	5
18607	7
205	1
13542	5
9936	4
3281	2
1683	1
9825	4
19405	7
12133	5
4559	2
7601	3
4062	2
1602	1
6877	3
539	1
13125	5
3411	2
9222	4
6149	3
1393	1
19323	7
7382	3
7138	3
10513	4
3667	2
18825	7
6896	3
628	1
19094	7
12276	5
9154	4
12960	5
12643	5
3843	2
21205	8
13128	5
5990	3
7292	3
4016	2
18754	7
3786	2
12646	5
12494	5
19258	7
9349	4
18182	7
9232	4
4762	2
9324	4
4184	2
8968	4
6129	3
7540	3
6544	3
12874	5
9175	4
1553	1
18392	7
9921	4
19380	7
10529	4
10154	4
12839	5
796	1
3727	2
6341	3
20908	8
7164	3
9282	4
7025	3
6447	3
21279	8
7530	3
18414	7
18011	7
11970	5
3862	2
12418	5
4685	2
18398	7
12389	5
12716	5
853	1
3839	2
3457	2
508	1
6577	3
7526	3
1758	1
9128	4
8898	4
6891	3
11953	5
13042	5
7578	3
300	1
6122	3
4610	2
13602	5
755	1
179	1
18727	7
6778	3
3408	2
12302	5
12490	5
2982	2
21091	8
13290	5
3993	2
10634	4
4498	2
3046	2
3098	2
6145	3
698	1
9856	4
6695	3
7600	3
11917	5
2995	2
12668	5
1661	1
7162	3
6493	3
771	1
7631	3
11879	5
9022	4
18603	7
19000	7
19544	7
10607	4
7618	3
12167	5
4289	2
501	1
21017	8
13166	5
10165	4
3725	2
9731	4
9243	4
20897	8
8910	4
10470	4
3219	2
9356	4
1494	1
6933	3
10160	4
9185	4
1359	1
3165	2
6459	3
673	1
13564	5
12964	5
55	1
594	1
13409	5
13611	5
12625	5
18722	7
12474	5
9081	4
12994	5
9527	4
9511	4
13406	5
19063	7
6864	3
20769	8
17892	7
12212	5
4515	2
1647	1
13013	5
6563	3
4056	2
3716	2
12583	5
3073	2
13442	5
9188	4
1165	1
20853	8
12752	5
13187	5
18364	7
18641	7
9296	4
9567	4
12091	5
10604	4
12502	5
3941	2
7433	3
874	1
6642	3
21525	8
18749	7
471	1
13184	5
3313	2
3896	2
13433	5
6242	3
13486	5
10038	4
12472	5
12043	5
18836	7
4542	2
12590	5
1013	1
3710	2
9446	4
12232	5
122	1
10168	4
19305	7
13588	5
18211	7
9084	4
7248	3
20965	8
1133	1
12636	5
3706	2
9746	4
9247	4
21210	8
6105	3
4672	2
7397	3
12902	5
19150	7
1195	1
1044	1
19100	7
13036	5
18811	7
6427	3
4404	2
7571	3
18384	7
1065	1
18895	7
4465	2
18459	7
3832	2
9747	4
18916	7
273	1
18951	7
18096	7
7633	3
6510	3
3948	2
3497	2
10097	4
3169	2
12200	5
18972	7
9935	4
4579	2
321	1
3029	2
3250	2
3446	2
3142	2
9374	4
3483	2
837	1
1564	1
12697	5
1041	1
21217	8
3167	2
3770	2
9471	4
11968	5
9704	4
12401	5
153	1
21518	8
9699	4
1672	1
3125	2
7123	3
6656	3
12975	5
6867	3
21060	8
782	1
18797	7
9575	4
18950	7
12017	5
1604	1
6484	3
21578	8
20949	8
1680	1
3939	2
1162	1
9267	4
9606	4
9961	4
7013	3
9840	4
19479	7
9681	4
3730	2
12464	5
9345	4
8929	4
13576	5
4366	2
18403	7
18482	7
12323	5
3252	2
13317	5
6151	3
17864	7
21606	8
1295	1
6471	3
10123	4
1050	1
10406	4
18576	7
6144	3
9076	4
10575	4
18290	7
19395	7
10518	4
637	1
856	1
21315	8
6043	3
18590	7
1784	1
1157	1
10422	4
7329	3
6687	3
9091	4
9650	4
3353	2
6040	3
1729	1
9955	4
21596	8
18688	7
9951	4
13366	5
13071	5
1389	1
12105	5
13189	5
3697	2
253	1
19204	7
6342	3
11935	5
6713	3
5993	3
1533	1
6870	3
7400	3
7361	3
18766	7
11981	5
933	1
13298	5
19345	7
12354	5
18613	7
13519	5
7556	3
21413	8
3682	2
7243	3
4367	2
10581	4
4461	2
981	1
13360	5
3906	2
9376	4
6844	3
10612	4
453	1
21501	8
1278	1
18657	7
797	1
1140	1
6069	3
18074	7
3514	2
1002	1
11835	5
7267	3
6290	3
11834	5
9774	4
18329	7
21214	8
6545	3
976	1
504	1
7513	3
20830	8
19145	7
7532	3
13132	5
164	1
1428	1
17856	7
19534	7
6333	3
3058	2
436	1
7542	3
9568	4
18500	7
7030	3
6326	3
3922	2
10015	4
12542	5
3321	2
9598	4
7422	3
10368	4
3193	2
9986	4
3314	2
12040	5
54	1
294	1
19422	7
12157	5
4694	2
754	1
11988	5
10415	4
13098	5
12821	5
12612	5
12243	5
6963	3
7256	3
13595	5
18309	7
12088	5
13311	5
4592	2
182	1
4364	2
18734	7
241	1
871	1
8984	4
6365	3
9040	4
9617	4
10310	4
7528	3
13136	5
9457	4
7338	3
9434	4
7203	3
105	1
19278	7
12549	5
6698	3
7239	3
222	1
10007	4
7599	3
21339	8
3444	2
3402	2
3201	2
10353	4
6410	3
9078	4
7281	3
19195	7
866	1
12343	5
21053	8
12719	5
12642	5
4501	2
1097	1
9816	4
809	1
18787	7
5991	3
220	1
20800	8
4413	2
9805	4
247	1
9971	4
6626	3
18492	7
3135	2
1498	1
3988	2
13003	5
9528	4
291	1
1531	1
1476	1
3659	2
9875	4
3420	2
3934	2
10543	4
13045	5
18142	7
1561	1
20719	8
1024	1
4466	2
4076	2
9119	4
12562	5
1607	1
13096	5
10325	4
528	1
19355	7
10261	4
7053	3
21219	8
7107	3
9182	4
7303	3
3393	2
7460	3
10436	4
3595	2
3989	2
19406	7
21301	8
7308	3
18050	7
4207	2
3228	2
18569	7
12311	5
18376	7
9745	4
7190	3
3121	2
13148	5
6196	3
19510	7
1787	1
10121	4
3185	2
13620	5
3346	2
9226	4
18594	7
6292	3
1508	1
4191	2
173	1
18801	7
9300	4
18593	7
4648	2
11943	5
12927	5
1654	1
21633	8
10234	4
4262	2
6156	3
12523	5
651	1
7581	3
7332	3
13228	5
13467	5
1030	1
18061	7
947	1
10166	4
4505	2
6875	3
3433	2
3025	2
21507	8
1750	1
13278	5
18267	7
3620	2
12854	5
10445	4
13453	5
19423	7
4699	2
8993	4
1404	1
3317	2
7457	3
914	1
12973	5
12866	5
12282	5
3925	2
20902	8
6838	3
19110	7
8900	4
13488	5
246	1
21412	8
8989	4
12111	5
17904	7
6768	3
8963	4
4576	2
9284	4
21029	8
9592	4
6783	3
131	1
3506	2
12079	5
10482	4
9541	4
6113	3
40	1
19412	7
5997	3
6624	3
21427	8
18902	7
19512	7
3961	2
6997	3
4618	2
4118	2
6593	3
984	1
687	1
12991	5
7405	3
12785	5
12836	5
1312	1
13237	5
12945	5
7112	3
17862	7
13082	5
9332	4
9635	4
20924	8
18365	7
9229	4
3889	2
21229	8
9996	4
3339	2
212	1
19425	7
9591	4
12061	5
10114	4
4278	2
12503	5
7175	3
4357	2
3206	2
10298	4
747	1
11976	5
51	1
7103	3
4161	2
19428	7
3757	2
6736	3
9308	4
633	1
6389	3
9501	4
1249	1
4632	2
422	1
1363	1
6486	3
21537	8
12008	5
18164	7
7390	3
18467	7
1377	1
652	1
12544	5
10431	4
1029	1
9266	4
1329	1
21569	8
6804	3
6327	3
433	1
3413	2
18962	7
13601	5
18436	7
10264	4
7355	3
1071	1
1586	1
6223	3
7134	3
18184	7
6543	3
6083	3
3293	2
541	1
20874	8
3426	2
7456	3
21024	8
6556	3
10539	4
1327	1
6116	3
4448	2
21483	8
19054	7
9460	4
9970	4
13090	5
787	1
13113	5
6829	3
6807	3
11985	5
9360	4
12830	5
18928	7
380	1
13035	5
12404	5
13205	5
18752	7
19304	7
10134	4
13414	5
9238	4
19132	7
3728	2
227	1
2984	2
3643	2
10291	4
9113	4
